No,HS,Sektor,Kategori,Uraian,2013,2014,2015,2016,2017,2018,Trend(%) 2013-2017,Perub.(%) 2017/2016,Peran.(%) 2017,Perub.(%) 2018/2017,Peran.(%) 2018
14,30613,Pertanian dan Peternakan,Animal & Animal Products,"SHRIMPS AND PRAWNS, INCLUDING IN SHELL, COOKED BY STEAMING OR BY BOILING IN WATER, FROZEN",948.6,1151.4,1049.5,1601.2,1831.8,1368.6,17.89,14.4,1.08,-25.29,0.76
15,90111,Pertanian dan Peternakan,Vegetable Products,"COFFEE, NOT ROASTED, NOT DECAFFEINATED",928.9,1431,1121.8,1418.8,1757.7,1673.1,13.51,23.89,1.04,-4.81,0.93
43,90411,Pertanian dan Peternakan,Vegetable Products,"PEPPER OF THE GENUS PIPER (BLACK AND WHITE), NEITHER CRUSHED NOR GROUND",921.9,1038.1,789.7,584.1,629.3,776.9,-12.53,7.74,0.37,23.45,0.43
6,151110,Pertanian dan Peternakan,Vegetable Products,"PALM OIL AND ITS FRACTIONS, CRUDE, NOT CHEMICALLY MODIFIED",6706.9,4595.1,3564.1,3243,4958.3,3836.6,-9.09,52.89,2.94,-22.62,2.13
1,151190,Pertanian dan Peternakan,Vegetable Products,"PALM OIL AND ITS FRACTIONS, REFINED BUT NOT CHEMICALLY MODIFIED",10860.3,13258.2,10997.2,11061.2,13815.2,12951,3.05,24.9,8.18,-6.26,7.19
48,151311,Pertanian dan Peternakan,Vegetable Products,"COCONUT (COPRA) OIL AND ITS FRACTIONS, CRUDE, NOT CHEMICALLY MODIFIED",661.9,515.3,572.2,682.9,517.3,343.9,-2.09,-24.26,0.31,-33.52,0.19
45,151321,Pertanian dan Peternakan,Vegetable Products,"PALM KERNEL OR BABASSU OIL AND THEIR FRACTIONS, CRUDE, NOT CHEMICALLY MODIFIED",122.3,141.2,311.9,392.2,601.5,1001.3,52.31,53.38,0.36,66.45,0.56
22,151329,Pertanian dan Peternakan,Vegetable Products,"PALM KERNEL OR BABASSU OIL AND THEIR FRACTIONS, REFINED BUT NOT CHEMICALLY MODIFIED",665.2,972.9,1173,1134.5,1152,1534.5,13.34,1.55,0.68,33.2,0.85
40,151790,Pertanian dan Peternakan,Vegetable Products,EDIBLE MIXTURES OR PREPARATIONS OF ANIMAL OR VEGETABLE FATS OR OILS OR OF FRACTIONS OF DIFFERENT FATS AND OILS COVERED BY HEADINGS 1501 THROUGH 1515,356.8,660.8,726.3,697.9,680.7,824,14.42,-2.46,0.4,21.06,0.46
31,180400,Bahan Makanan,Foodstuffs,"COCOA BUTTER, FAT AND OIL",76.2,130.6,87.9,870.4,869.6,504.9,96.72,-0.09,0.52,-41.94,0.28
30,240220,Bahan Makanan,Foodstuffs,CIGARETTES CONTAINING TOBACCO,620.6,858.9,656.8,719.9,905.7,1382.6,5.97,25.81,0.54,52.65,0.77
8,260300,Bahan Mineral,Mineral Products,COPPER ORES AND CONCENTRATES,3006.8,1683.6,3277.2,3481.6,3439.6,4186.7,10.47,-1.21,2.04,21.72,2.32
4,270112,Bahan Mineral,Mineral Products,"BITUMINOUS COAL, WHETHER OR NOT PULVERIZED, BUT NOT AGGLOMERATED",12928.6,11704.5,7356.9,5146.4,6184.1,6959.2,-20.52,20.16,3.66,12.53,3.86
2,270119,Bahan Mineral,Mineral Products,"COAL, OTHER THAN ANTHRACITE OR BITUMINOUS, WHETHER OR NOT PULVERIZED, BUT NOT AGGLOMERATED",10441.1,9289.6,7499.5,6546.4,10483.2,14074.1,-3.36,60.14,6.21,34.25,7.81
12,270210,Bahan Mineral,Mineral Products,"LIGNITE, NOT AGGLOMERATED, EXCLUDING JET",1840.8,1718.3,1725.4,1561.1,2285.3,2515.9,3.42,46.39,1.35,10.09,1.4
5,270900,Bahan Mineral,Mineral Products,"PETROLEUM OILS AND OILS FROM BITUMINOUS MINERALS, CRUDE",10204.7,9215,6479.4,5196.7,5354.9,5120.5,-16.99,3.04,3.17,-4.38,2.84
